Id,TipoID,Portafolio_RentaFija,Portafolio_RentaVariable,Entradas_Transaccionales,Entradas_Frecuencia,Salidas_Transaccionales,Salidas_Frecuencia,DivisasCompras,DivisasVentas
434,CC,0.0,2350000.0,0.0,0,433305.66,1,0.0,0.0
435,CC,200348000.0,2521826443.02,61000000.0,0,53806651.865,1,126205250.0,0.0
436,CC,0.0,2350000.0,0.0,0,16932.28,1,0.0,0.0
437,CC,0.0,7050000.0,0.0,0,839988.0,1,0.0,0.0
438,CC,0.0,162010.0,0.0,0,316481.86,1,0.0,0.0
439,CC,0.0,289308500.0,0.0,0,2080000.0,1,0.0,0.0
440,CC,442312082.758792,0.0,0.0,0,6452223.68777778,1,0.0,0.0
441,CC,0.0,0.0,0.0,0,9399030.36,1,0.0,0.0
442,CC,0.0,73973152.0,16200000.0,0,7837182.06,2,0.0,0.0
443,CC,0.0,71173000.0,7333333.33333333,0,45000000.0,2,0.0,0.0
444,CC,0.0,0.0,12013674.3333333,0,27066666.6666667,1,0.0,0.0
445,CC,228149000.0,0.0,34850000.0,0,4674979.16666667,1,0.0,0.0
446,CC,156466200.0,37137950.0,0.0,0,56250000.0,1,0.0,0.0
447,CC,0.0,24276746.0,60082414.73,0,131464360.89,3,0.0,0.0
448,CC,0.0,0.0,10000000.0,0,0.0,0,0.0,0.0
449,CC,0.0,172396000.0,0.0,0,10436837.5,1,0.0,0.0
450,CC,1398008303.46,0.0,0.0,0,67592255.8381818,1,0.0,420775000.0
451,CC,0.0,40756050.0,0.0,0,12360790.935,1,0.0,0.0
452,CC,0.0,0.0,0.0,0,48930061.6875,2,0.0,0.0
453,CC,0.0,599927200.0,0.0,0,271113835.795,3,0.0,0.0
454,CC,200126000.0,56158980.0,26034000.0,1,44636898.8841667,2,18199825.0,0.0
455,CC,0.0,3811826.0,0.0,0,51657958.4675,1,0.0,0.0
456,CC,0.0,18630400.0,766666.666666667,0,0.0,0,0.0,0.0
457,CC,0.0,0.0,138027868.29,0,117500000.0,1,0.0,0.0
458,CC,0.0,74141650.0,4300000.0,0,20000000.0,2,0.0,0.0
459,CC,0.0,299049568.0,101000000.0,0,0.0,0,0.0,0.0
460,CC,0.0,12744800.0,0.0,0,71200000.0,1,3967000.0,0.0
461,CC,0.0,23500000.0,0.0,0,1981223.55,1,0.0,0.0
462,CC,0.0,0.0,7550011.05555556,0,17451829.0304348,4,0.0,0.0
463,CC,0.0,1322050.0,0.0,0,53700000.0,2,0.0,0.0
464,CC,0.0,7478400.0,0.0,0,11513627.84,1,0.0,0.0
465,CC,0.0,19904500.0,0.0,0,39620000.0,1,0.0,0.0
466,CC,0.0,0.0,0.0,0,83436355.1425,1,0.0,0.0
467,CC,0.0,0.0,6581532.31444444,0,105000000.0,1,0.0,0.0
