Id,Tipo_ID,Ocupacion,Nacimiento,Edad,RangoEtario,Estado,IngresosFinancieros,Activos,Pasivos,Patrimonio,NivelRiesgo,Segmento,RiesgoOcupacion,Portafolio_RentaFija,Portafolio_RentaVariable,Entradas_Transaccionales,Entradas_Frecuencia,Salidas_Transaccionales,Salidas_Frecuencia,DivisasCompras,DivisasVentas,Cluster
6786,CC,Empleado,1983-02-19,40,31-50,Activo,849074000,2496778000,650149000.0,1846629000.0,Bajo,Personal,2,0.0,19376200.0,83478800.0,0,110000000.0,1,40714078.0666667,0.0,3
6788,CC,Empleado,1983-02-16,40,31-50,Activo,428036000,774510000,356112000.0,418398000.0,Bajo,Personal,2,0.0,11750000.0,0.0,0,23000000.0,1,0.0,0.0,0
6789,CC,Empleado,1983-03-12,40,31-50,Activo,161267000,249621000,230346000.0,19275000.0,Medio,Personal,2,0.0,197867500.0,70000000.0,0,4968278.91,1,0.0,0.0,3
6790,CC,Empleado,1982-09-04,40,31-50,Activo,87646000,350379000,0.0,350379000.0,Medio,Personal,2,0.0,491395290.0,15966666.6666667,0,0.0,0,0.0,0.0,3
6791,CC,Empleado,1980-10-02,42,31-50,Activo,183681000,1497875000,146353000.0,1351522000.0,Medio,Personal,2,0.0,228171912.0,25956250.0,3,0.0,0,0.0,0.0,3
6792,CC,Empleado,1980-11-16,42,31-50,Activo,44900000,111433000,0.0,111433000.0,Medio,Personal,2,0.0,127908900.0,2499047.61904762,0,0.0,0,0.0,0.0,3
6793,CC,Empleado,1981-08-08,41,31-50,En Espera,84000000,150000000,20000000.0,130000000.0,Medio,Personal,2,0.0,9526900.0,0.0,0,602011.0,1,0.0,0.0,0
6794,CC,Empleado,1982-01-21,41,31-50,Activo,187364000,350344000,134050000.0,216294000.0,Medio,Personal,2,0.0,112379969.0,48000000.0,0,10898571.4285714,1,0.0,0.0,3
6795,CC,Empleado,1981-11-19,41,31-50,Activo,828688000,2422545000,137395000.0,2285150000.0,Bajo,Personal,2,0.0,461233071.0,88189500.0,6,22754156.31,2,0.0,0.0,3
6796,CC,Empleado,1983-08-17,39,31-50,Activo,151000000,582477000,58122000.0,524355000.0,Bajo,Personal,2,21969420.0,0.0,40000000.0,0,19807374.69,1,0.0,0.0,2
6797,CC,Empleado,1981-09-18,41,31-50,Activo,58475000,257670000,82224000.0,175446000.0,Medio,Personal,2,0.0,17965600.0,14571428.5714286,0,92000000.0,1,0.0,0.0,3
6798,CC,Empleado,1981-10-31,41,31-50,Activo,71978000,157109000,23949000.0,133160000.0,Medio,Personal,2,0.0,0.0,9000000.0,1,5400143.70166667,2,0.0,0.0,2
6799,CC,Empleado,1982-03-28,41,31-50,Activo,29136000,30000000,0.0,30000000.0,Medio,Personal,2,0.0,56392512.0,22500000.0,1,0.0,0,0.0,0.0,3
6800,CC,Empleado,1980-11-12,42,31-50,En Espera,894258000,2104829000,76944000.0,2027885000.0,Bajo,Personal,2,0.0,0.0,0.0,0,588141.9965,1,0.0,0.0,1
6803,CC,Empleado,1981-09-20,41,31-50,Activo,121294992,372173000,25422000.0,346751000.0,Medio,Personal,2,423134000.0,0.0,191010950.0,0,0.0,0,0.0,0.0,2
6805,CC,Empleado,1981-08-28,41,31-50,Activo,336333000,1364147000,195726000.0,1168421000.0,Bajo,Personal,2,0.0,0.0,81250000.0,0,44641138.4175,1,0.0,0.0,2
6806,CC,Empleado,1982-03-31,41,31-50,Activo,182400000,310000000,170000000.0,140000000.0,Bajo,Personal,2,0.0,3387140.0,1150000.0,0,10051763.295,2,0.0,0.0,3
6808,CC,Empleado,1982-09-23,40,31-50,Prospecto,208716000,673593000,43685000.0,629908000.0,Bajo,Personal,2,200280000.0,0.0,0.0,0,248000000.0,3,0.0,0.0,1
6811,CC,Empleado,1983-11-19,39,31-50,Activo,43886000,61150000,18763000.0,42387000.0,Medio,Personal,2,0.0,0.0,0.0,0,3508946.07,1,0.0,0.0,1
